Open,High,Low,Close,Adj Close,Volume,MA5,MA20,MA60,MA240
14719.45996,14747.41992,14666.54004,14676.2998,14676.2998,138020000,14609.51582,14645.13994,14321.1325,14676.2998
14676.2998,14768.0498,14665.4502,14700.7998,14700.7998,129600000,14642.24785,14653.87192,14333.57217,14700.7998
14700.7998,14743.49023,14684.82031,14712.5498,14712.5498,128910000,14675.25586,14660.57241,14346.941,14712.5498
14712.5498,14844.95996,14712.5498,14818.75,14818.75,97060000,14725.57188,14672.86743,14362.9105,14818.75
14818.75,14839.7998,14734.46973,14839.7998,14839.7998,148250000,14749.63984,14681.75693,14376.74399,14839.7998
14839.7998,14839.7998,14687.0498,14700.9502,14700.9502,112620000,14754.56992,14689.28696,14390.42516,14700.9502
14700.9502,14834.62988,14700.9502,14831.58008,14831.58008,91180000,14780.72598,14700.56045,14404.62983,14831.58008
14831.58008,15009.58984,14831.58008,14973.95996,14973.95996,119890000,14833.00801,14720.99595,14421.08717,14973.95996
14973.95996,14988.87012,14941.08984,14968.88965,14968.88965,116160000,14863.03594,14738.76641,14438.16784,14968.88965
14968.88965,15056.66992,14968.88965,15056.2002,15056.2002,117230000,14906.31602,14757.90342,14455.88835,15056.2002
15056.2002,15106.80957,15021.87012,15105.12012,15105.12012,113510000,14987.15,14773.04741,14474.78634,15105.12012
15105.12012,15144.83008,15046.87012,15082.62012,15082.62012,97810000,15037.35801,14783.92144,14492.51834,15082.62012
15082.62012,15118.49023,15038.17969,15118.49023,15118.49023,98980000,15066.26406,14796.59297,14511.44468,15118.49023
15113.41992,15113.41992,15053.45996,15091.67969,15091.67969,94280000,15090.82207,14821.21694,14530.08285,15091.67969
15091.67969,15219.5498,15089.2998,15215.25,15215.25,124590000,15122.63203,14844.14043,14550.64102,15215.25
15211.87012,15301.33984,15175.38965,15275.69043,15275.69043,124030000,15156.74609,14876.99546,14571.30802,15275.69043
15273.91992,15302.49023,15215.82031,15233.21973,15233.21973,145090000,15186.86602,14911.79946,14593.06935,15233.21973
15234.75,15357.40039,15234.75,15354.40039,15354.40039,175750000,15234.04805,14952.14399,14617.63236,15354.40039
15348.33008,15391.83984,15314.15039,15335.28027,15335.28027,116420000,15282.76816,14990.54951,14639.87752,15335.28027
15334.96973,15434.5,15325.67969,15387.58008,15387.58008,122970000,15317.23418,15023.95552,14666.60103,15387.58008
15387.12012,15542.40039,15265.95996,15307.16992,15307.16992,171850000,15323.53008,15055.49902,14690.05169,15307.16992
15300.57031,15348.41016,15180.23047,15294.5,15294.5,148810000,15335.78613,15085.18403,14710.37052,15294.5
15290.74023,15306.70996,15199.62988,15303.09961,15303.09961,105660000,15325.52598,15114.71152,14731.18068,15303.09961
15307.33008,15521.49023,15307.33008,15409.38965,15409.38965,130680000,15340.34785,15144.24351,14753.17617,15409.38965
15399.94043,15400.25,15229.53027,15302.7998,15302.7998,114020000,15323.3918,15167.39351,14772.75916,15302.7998
15306.01953,15398.7002,15280.99023,15324.53027,15324.53027,121150000,15326.86387,15198.57251,14790.60518,15324.53027
15322.21973,15392.37988,15115.57031,15115.57031,15115.57031,208830000,15291.07793,15212.77202,14804.26068,15115.57031
15123.5498,15254.11035,15123.5498,15254.03027,15254.03027,147980000,15281.26406,15226.77554,14819.66968,15254.03027
15255.21973,15304.98047,15100.78027,15177.54004,15177.54004,134280000,15234.89414,15237.20806,14832.67751,15177.54004
15168.09961,15168.62988,14945.57031,14960.58984,14960.58984,141400000,15166.45215,15232.42754,14841.2325,14960.58984
14955.4502,15040.62012,14844.21973,15040.62012,15040.62012,140410000,15109.67012,15229.20254,14851.07518,15040.62012
15044.45996,15255.58008,15044.45996,15248.12012,15248.12012,137380000,15136.18008,15237.47754,14864.28918,15248.12012
